county,fips,state_id,state_name,population,ppercentage
Suwannee County,12121,FL,Florida,44046,0.000132889
Jackson County,18071,IN,Indiana,44025,0.000132826
Holmes County,39075,OH,Ohio,43901,0.000132452
Barren County,21009,KY,Kentucky,43884,0.0001324
Jefferson County,42065,PA,Pennsylvania,43846,0.000132286
Kendall County,48259,TX,Texas,43769,0.000132053
Stephens County,40137,OK,Oklahoma,43647,0.000131685
Bonner County,16017,ID,Idaho,43611,0.000131577
Fayette County,54019,WV,West Virginia,43576,0.000131471
Miller County,5091,AR,Arkansas,43572,0.000131459
Brown County,39015,OH,Ohio,43572,0.000131459
Sweetwater County,56037,WY,Wyoming,43521,0.000131305
Branch County,26023,MI,Michigan,43513,0.000131281
Siskiyou County,6093,CA,California,43468,0.000131145
Polk County,55095,WI,Wisconsin,43438,0.000131055
Lawrence County,47099,TN,Tennessee,43390,0.00013091
Douglas County,55031,WI,Wisconsin,43295,0.000130623
Mecosta County,26107,MI,Michigan,43251,0.000130491
St. John the Baptist Parish,22095,LA,Louisiana,43242,0.000130463
Shenandoah County,51171,VA,Virginia,43224,0.000130409
Sullivan County,33019,NH,New Hampshire,43104,0.000130047
Coffee County,13069,GA,Georgia,43021,0.000129797
Highland County,39071,OH,Ohio,43016,0.000129782
Jackson County,37099,NC,North Carolina,42938,0.000129546
DeKalb County,18033,IN,Indiana,42927,0.000129513
Muscatine County,19139,IA,Iowa,42889,0.000129398
Kandiyohi County,27067,MN,Minnesota,42841,0.000129254
Cerro Gordo County,19033,IA,Iowa,42834,0.000129232
Windham County,50025,VT,Vermont,42823,0.000129199
Butler County,29023,MO,Missouri,42656,0.000128695
Dubois County,18037,IN,Indiana,42543,0.000128354
Ravalli County,30081,MT,Montana,42512,0.000128261
Delaware County,40041,OK,Oklahoma,42433,0.000128023
Pettis County,29159,MO,Missouri,42355,0.000127787
Davie County,37059,NC,North Carolina,42257,0.000127492
Fulton County,39051,OH,Ohio,42253,0.00012748
Caldwell County,48055,TX,Texas,42144,0.000127151
Ohio County,54069,WV,West Virginia,42143,0.000127148
Mississippi County,5093,AR,Arkansas,42126,0.000127096
Douglas County,53017,WA,Washington,42023,0.000126786
Pierce County,55093,WI,Wisconsin,41977,0.000126647
Clinton County,39027,OH,Ohio,41957,0.000126586
Polk County,13233,GA,Georgia,41908,0.000126439
Okanogan County,53047,WA,Washington,41842,0.00012624
Erath County,48143,TX,Texas,41841,0.000126237
Crawford County,39033,OH,Ohio,41821,0.000126176
Franklin County,47051,TN,Tennessee,41725,0.000125887
Sequoyah County,40135,OK,Oklahoma,41709,0.000125838
Montrose County,8085,CO,Colorado,41686,0.000125769
Tazewell County,51185,VA,Virginia,41603,0.000125518
Wharton County,48481,TX,Texas,41577,0.00012544
Baxter County,5005,AR,Arkansas,41427,0.000124987
McKean County,42083,PA,Pennsylvania,41401,0.000124909
Chambers County,48071,TX,Texas,41305,0.000124619
Sanilac County,26151,MI,Michigan,41295,0.000124589
Manassas City,51683,VA,Virginia,41174,0.000124224
Okeechobee County,12093,FL,Florida,41144,0.000124134
Summit County,49043,UT,Utah,41103,0.00012401
Preble County,39135,OH,Ohio,41093,0.00012398
Danville City,51590,VA,Virginia,41070,0.00012391
Mayes County,40097,OK,Oklahoma,41044,0.000123832
Upshur County,48459,TX,Texas,41018,0.000123753
Jim Wells County,48249,TX,Texas,40972,0.000123615
Susquehanna County,42115,PA,Pennsylvania,40970,0.000123609
Tioga County,42117,PA,Pennsylvania,40944,0.00012353
Gratiot County,26057,MI,Michigan,40916,0.000123446
Orleans County,36073,NY,New York,40904,0.00012341
Shawano County,55115,WI,Wisconsin,40904,0.00012341
Mercer County,39107,OH,Ohio,40884,0.000123349
Hendry County,12051,FL,Florida,40732,0.000122891
Warren County,47177,TN,Tennessee,40702,0.0001228
Avoyelles Parish,22009,LA,Louisiana,40669,0.000122701
Ottawa County,39123,OH,Ohio,40632,0.000122589
Tallapoosa County,1123,AL,Alabama,40541,0.000122314
Tift County,13277,GA,Georgia,40541,0.000122314
Snyder County,42109,PA,Pennsylvania,40483,0.000122139
Levy County,12075,FL,Florida,40403,0.000121898
Marinette County,55075,WI,Wisconsin,40391,0.000121862
Wyoming County,36121,NY,New York,40305,0.000121602
Wayne County,54099,WV,West Virginia,40303,0.000121596
Nez Perce County,16069,ID,Idaho,40217,0.000121337
Cheatham County,47021,TN,Tennessee,40181,0.000121228
Fayette County,47047,TN,Tennessee,40164,0.000121177
Benton County,27009,MN,Minnesota,40129,0.000121071
Howell County,29091,MO,Missouri,40104,0.000120996
Cooke County,48097,TX,Texas,40041,0.000120806
Marshall County,19127,IA,Iowa,39964,0.000120574
Harrison County,18061,IN,Indiana,39940,0.000120501
Fremont County,56013,WY,Wyoming,39812,0.000120115
Mower County,27099,MN,Minnesota,39807,0.0001201
Campbell County,47013,TN,Tennessee,39797,0.00012007
Knox County,23013,ME,Maine,39759,0.000119955
Warren County,42123,PA,Pennsylvania,39756,0.000119946
Murray County,13213,GA,Georgia,39724,0.000119849
Waldo County,23027,ME,Maine,39539,0.000119291
Pike County,28113,MS,Mississippi,39532,0.00011927
Pasquotank County,37139,NC,North Carolina,39514,0.000119216
Latah County,16057,ID,Idaho,39505,0.000119189
Warren County,51187,VA,Virginia,39492,0.000119149
Union County,5139,AR,Arkansas,39449,0.00011902
Isanti County,27059,MN,Minnesota,39430,0.000118962
Des Moines County,19057,IA,Iowa,39386,0.00011883
Person County,37145,NC,North Carolina,39345,0.000118706
McClain County,40087,OK,Oklahoma,39247,0.00011841
Webster Parish,22119,LA,Louisiana,39242,0.000118395
LaGrange County,18087,IN,Indiana,39193,0.000118247
Rio Arriba County,35039,NM,New Mexico,39159,0.000118145
Dallas County,1047,AL,Alabama,39149,0.000118115
Guernsey County,39059,OH,Ohio,39111,0.000118
Clatsop County,41007,OR,Oregon,39102,0.000117973
Madison County,16065,ID,Idaho,39100,0.000117967
Crawford County,20037,KS,Kansas,38968,0.000117569
Franklin County,17055,IL,Illinois,38923,0.000117433
Brown County,46013,SD,South Dakota,38915,0.000117409
Clinton County,42035,PA,Pennsylvania,38915,0.000117409
Champaign County,39021,OH,Ohio,38845,0.000117197
Calloway County,21035,KY,Kentucky,38837,0.000117173
Natchitoches Parish,22069,LA,Louisiana,38769,0.000116968
Okmulgee County,40111,OK,Oklahoma,38749,0.000116908
Clarion County,42031,PA,Pennsylvania,38715,0.000116805
Woodford County,17203,IL,Illinois,38700,0.00011676
Webster County,29225,MO,Missouri,38655,0.000116624
Scott County,29201,MO,Missouri,38633,0.000116558
Wise County,51195,VA,Virginia,38486,0.000116114
Amador County,6005,CA,California,38429,0.000115942
Albany County,56001,WY,Wyoming,38390,0.000115825
Pontotoc County,40123,OK,Oklahoma,38355,0.000115719
Montgomery County,18107,IN,Indiana,38287,0.000115514
Lawrence County,29109,MO,Missouri,38204,0.000115263
Newberry County,45071,SC,South Carolina,38194,0.000115233
Defiance County,39039,OH,Ohio,38160,0.000115131
Oconee County,13219,GA,Georgia,38132,0.000115046
Prince George County,51149,VA,Virginia,38114,0.000114992
Graham County,4009,AZ,Arizona,37996,0.000114636
Jefferson County,17081,IL,Illinois,37985,0.000114603
Cass County,18017,IN,Indiana,37880,0.000114286
Brown County,48049,TX,Texas,37855,0.000114211
Marion County,17121,IL,Illinois,37743,0.000113873
Oconto County,55083,WI,Wisconsin,37646,0.00011358
Clinton County,17027,IL,Illinois,37634,0.000113544
